group,drop_diff,abs_diff_mgL
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,2,10.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,2,10.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,1,5.0
volunteer_within_test,2,10.0
volunteer_within_test,2,10.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,2,10.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,2,10.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,2,10.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,1,5.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
volunteer_within_test,0,0.0
